no,property-name,price,house-type,area,bedrooms,bathrooms,receptions,location,county,postal-code,
1486,Brynmaer Road,2500000,House,2235,5,5,5,,London,SW11 4EN,
1487,Juer Street,1695000,House,2014,5,5,5,,London,SW11 4RF,
1488,Claremont House,550000,New development,540,1,1,1,28 Quebec Way,London,SE16 7FS,
1489,Peel Street,2550000,House,1451,3,3,3,,London,W8 7PD,
1490,Royal Victoria Patriotic Building,695000,Flat / Apartment,983,1,1,1,,London,SW18 3SX,
1491,Gloucester Drive,725000,Flat / Apartment,1323,3,3,3,,London,N4 2LE,
1492,Warwick Drive,675000,Flat / Apartment,986,3,3,3,Putney,London,SW15 6LD,
1493,Coral Apartments,1100000,Penthouse,1809,2,2,2,17 Western Gateway,London,E16 1AQ,
1494,48 Reminder Lane,450000,Flat / Apartment,566,1,1,1,Greenwich,London,SE10 0NQ,
1495,Andre Street,635000,Flat / Apartment,840,2,2,2,,London,E8 2AA,
1496,Clavering Avenue,1500000,House,2035,5,5,5,Barnes,London,SW13 8DY,
1497,Brook Green,4650000,House,3244,6,6,6,,London,W6 7BL,
1498,Boatman's Court,695000,New development,734,2,2,2, Putney,London,SW15 1PP,
1499,Telfords Yard,865000,Flat / Apartment,1115,2,2,2,,London,E1W 2BQ,
1500,Richmond Mansions,1195000,Flat / Apartment,1300,3,3,3,Old Brompton Road,London,SW5 9HN,
1501,New Century House,450000,Flat / Apartment,731,2,2,2,8 Jude Street,London,E16 1FG,
1502,Eltham Court,475000,New development,639,1,1,1, West Ealing,London,W13 8RA,
1503,Orbel Street,700000,Flat / Apartment,1021,2,2,2,,London,SW11 3NZ,
1504,York Street,1850000,Flat / Apartment,1454,2,2,2,,London,W1H 4QF,
1505,Faraday Road,699950,House,918,3,3,3,Wimbledon,London,SW19 8PA,
1506,Enfield Road,699950,New development,942,2,2,2,Islington,London,N1 5EN,
1507,Petergate,750000,House,914,3,3,3,Wandsworth,London,SW11 2UE,
1508,Corbiere Court,675000,House,586,2,2,2,Wimbledon,London,SW19 4ND,
1509,Guildford House,765000,Flat / Apartment,818,2,2,2,Tollgate Gardens,London,NW6 5FU,
1510,East Hill,625000,Flat / Apartment,789,2,2,2,,London,SW18 2HG,
1511,Sentis Court,595000,Flat / Apartment,1197,2,2,2, Northwood,Middlesex,HA6 3NG,
1512,Clephane Road,675000,Flat / Apartment,803,3,3,3,,London,N1 2FT,
1513,Moring Road,1095000,House,1466,4,4,4,,London,SW17 8DN,
1514,Cambridge Road,1150000,Flat / Apartment,1012,3,3,3,,London,SW11 4RT,
1515,Caledonian Road,860000,Flat / Apartment,1018,2,2,2,,London,N1 0NG,
1516,De Laszlo House,2500000,New development,1615,3,3,3, Hampstead,London,NW3 5JY,
1517,Highdown Road,3395000,House,3583,6,6,6,Putney,London,SW15 5BU,
1518,Lichfield Road,899950,House,1615,3,3,3,,London,E3 5AL,
1519,Ashley Gardens,1200000,Flat / Apartment,1077,2,2,2, Victoria,London,SW1P 1HL,
1520,Revelstoke Road,595000,Flat / Apartment,947,3,3,3,Southfields,London,SW18 5NN,
1521,Florence Court,375000,Flat / Apartment,402,1,1,1,Sunnyside,London,SW19 4SG,
1522,Arcadian Place,1800000,House,2626,5,5,5,Southfields,London,SW18 5JF,
1523,Barham Road,2750000,House,4180,5,5,5,Wimbledon,London,SW20 0ET,
1524,Rosehill Road,575000,Flat / Apartment,680,2,2,2,Wandsworth,London,SW18 2NX,
1525,Jessica Road,1550000,House,2265,5,5,5,,London,SW18 2QL,
1526,Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW,
1527,Elm Tree Court,600000,Flat / Apartment,514,1,1,1,Elm Tree Road,London,NW8 9JT,
1528,Upper Richmond Road,699950,Flat / Apartment,816,2,2,2,Putney,London,SW15 2DU,
1529,Sefton Street,1225000,House,1450,3,3,3,Putney,London,SW15 1NA,
1530,Broadfield Lane,950000,New development,849,3,3,3,King's Cross,London,NW1 9DJ,
1531,Gloucester Avenue,799999,Flat / Apartment,483,1,1,1,Primrose Hill,London,NW1 8HX,
1532,King Edwards Road,1725000,House,2512,5,5,5,Ruislip,Middlesex,HA4 7AQ,
1533,Greenhill Court,550000,Flat / Apartment,1899,2,2,2, Northwood,Middlesex,HA6 2BD,
1534,Ladbroke Grove,925000,Flat / Apartment,635,1,1,1,,London,W11 2HE,
1535,Manchuria Road,1625000,House,2056,4,4,4,,London,SW11 6AE,
1536,Bellevue Road,825000,Flat / Apartment,840,2,2,2,,London,SW17 7EB,
1537,St. James's Drive,900000,Flat / Apartment,1170,3,3,3,,London,SW17 7RT,
1538,Clapham High Street,550000,Flat / Apartment,790,2,2,2,,London,SW4 7TP,
1539,Cumberland Mansions,1500000,Flat / Apartment,1186,3,3,3, Marylebone,London,W1H 5ZA,
1540,Hepworth Court,750000,Flat / Apartment,627,1,1,1,30 Gatliff Road,London,SW1W 8QN,
1541,Cadogan Gardens,1695000,Flat / Apartment,1187,2,2,2,,London,SW3 2RB,
1542,Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN,
1543,Hemingford Road,2399500,House,2222,4,4,4,,London,N1 1BZ,
1544,Florence Street,950000,Flat / Apartment,929,3,3,3,,London,N1 2EA,
1545,Southgate Road,875000,Flat / Apartment,918,2,2,2,,London,N1 3HX,
1546,Barnsbury Square,2250000,House,1642,4,4,4,Barnsbury,London,N1 1JL,
1547,South Hill Park Gardens,4395000,House,3292,5,5,5,Hampstead,London,NW3 2TD,
1548,Makepeace Mansions,439950,Flat / Apartment,466,1,1,1,Makepeace Avenue,London,N6 6ES,
1549,Bridgepoint Place,1795000,House,1669,4,4,4,Hornsey Lane,London,N6 5LJ,
1550,Armadale Road,699950,Flat / Apartment,734,2,2,2,,London,SW6 1JP,
1551,Bishops Road,815000,Flat / Apartment,969,3,3,3,Fulham,London,SW6 7AD,
1552,Letterstone Road,1375000,House,1427,4,4,4,,London,SW6 7BA,
1553,Courtfield Gardens,2250000,Flat / Apartment,1700,3,3,3,,London,SW5 0PD,
1554,Courtfield Gardens,2650000,Flat / Apartment,1393,2,2,2,,London,SW5 0ND,
1555,Icon Apartments,480000,Flat / Apartment,732,2,2,2,32 Duckett Street,London,E1 4FX,
1556,Streathbourne Road,1975000,House,2827,6,6,6,,London,SW17 8QZ,
1557,Linnet Mews,625000,House,638,2,2,2,,London,SW12 8JE,
1558,Thurleigh Road,1850000,House,2286,4,4,4,,London,SW12 8TY,
1559,Tantallon Road,1600000,House,2201,5,5,5,,London,SW12 8DF,
1560,Chandlers Avenue,399995,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN,
1561,Cranbrook Road,1350000,House,1628,4,4,4,Chiswick,London,W4 2LJ,
1562,Copenhagen Gardens,760000,House,919,2,2,2,Chiswick,London,W4 5NN,
1563,Eastbourne Road,1600000,House,1983,4,4,4, Chiswick,London,W4 3EB,
1564,Old Church Street,500000,Flat / Apartment,373,1,1,1,Chelsea,London,SW3 5BZ,
1565,Meredyth Road,2350000,House,2200,5,5,5,Barnes,London,SW13 0DY,
1566,Arundel Terrace,1325000,House,1476,3,3,3,Barnes,London,SW13 8DS,
1567,Dawes Road,1350000,House,1707,4,4,4,,London,SW6 7EJ,
1568,Hunts Paper Factory,850000,Flat / Apartment,906,2,2,2,49 Atalanta Street,London,SW6 6TU,
1569,Brackenbury Road,1500000,Duplex,2024,4,4,4,Brackenbury Village,London,W6 0BE,
1570,Television Centre,1090000,New development,923,2,2,2,101 Wood Lane,London,W12 7FS,
1571,Television Centre,1425000,Flat / Apartment,1067,2,2,2,6 Wood Crescent,London,W12 7GS,
1572,Robertson Street,925000,House,1518,4,4,4,,London,SW8 3TJ,
1573,Simpson Street,1080000,House,1435,3,3,3,,London,SW11 3HN,
1574,Albany Mansions,1100000,Flat / Apartment,942,2,2,2,Albert Bridge Road,London,SW11 4PQ,
1575,Latchmere Road,1000000,House,1523,4,4,4,Battersea,London,SW11 2DS,
1576,Waterside Point,2500000,Flat / Apartment,1717,2,2,2, Battersea,London,SW11 4PD,
1577,Sutherland Street,650000,Flat / Apartment,509,1,1,1,,London,SW1V 4LA,
1578,Old Market Square,500000,Flat / Apartment,815,3,3,3,,London,E2 7PQ,
1579,Blomfield Villas,499999,Flat / Apartment,360,1,1,1,Little Venice,London,W2 6NQ,
1580,Ridgmount Gardens,800000,Flat / Apartment,558,2,2,2,Fitzrovia,London,WC1E 7AX,
1581,Rathbone Square,1140000,New development,580,1,1,1, Fitzrovia,London,W1T 1JN,
1582,Bryanston Court,2150000,Flat / Apartment,1969,3,3,3, Marylebone,London,W1H 7HE,
1583,Craven Street,2000000,Flat / Apartment,1415,2,2,2,,London,WC2N 5NS,
1584,Boundaries Road,1475000,House,2366,4,4,4,,London,SW12 8HF,
1585,Blandford Street,695000,Flat / Apartment,429,1,1,1,,London,W1U 8AG,
1586,Huntsmore House,1895000,Penthouse,1447,3,3,3,35 Pembroke Road,London,W8 6LZ,
1587,Highbury Gardens,500000,Flat / Apartment,563,1,1,1,,52 Holloway Road,N7 8BW,
1588,Enfield Road,585000,Flat / Apartment,750,2,2,2,,London,N1 5EN,
1589,Parkholme Road,1525000,House,1750,4,4,4,Hackney,London,E8 3AQ,
1590,Dashwood House,1500000,Flat / Apartment,1311,3,3,3, Longfield Avenue,London,W5 2JU,
1591,North Common Road,2950000,House,4125,6,6,6,Ealing,London,W5 2QB,
1592,North Avenue,2950000,House,3165,5,5,5,Ealing,London,W13 8AP,
1593,Magna Square,850000,House,1326,3,3,3,East Sheen,London,SW14 8LH,
1594,Cinnabar Wharf West,999500,Flat / Apartment,796,2,2,2,22 Wapping High Street,London,E1W 1NJ,
1595,Bickley Street,525000,Flat / Apartment,714,2,2,2,,London,SW17 9NE,
1596,Cavendish Road,550000,Flat / Apartment,701,2,2,2,Balham,London,SW12 0PQ,
1597,Calbourne Road,1350000,House,1605,4,4,4,,London,SW12 8LR,
1598,Addison Gardens,825000,Flat / Apartment,753,2,2,2,,London,W14 0DP,
1599,Foundry House,699995,Flat / Apartment,791,2,2,2, Canary Wharf,London,E14 6NJ,
1600,Malpas Road,590000,House,1271,4,4,4,,London,E8 1NA,
1601,Burnfoot Avenue,1650000,House,2042,5,5,5, Fulham,London,SW6 5EA,
1602,College Building,625000,Flat / Apartment,776,1,1,1,3 Forfar Road,London,SW11 4FR,
1603,Goswell Road,750000,Flat / Apartment,789,2,2,2,Islington,London,EC1V 7AH,
1604,London Mill Apartments,539000,Flat / Apartment,610,2,2,2,Whiston Road,London,E2 8FS,
1605,St. Charles Square,699950,Flat / Apartment,602,2,2,2,North Kensington,London,W10 6EN,
1606,Enmore Gardens,1500000,House,1580,4,4,4,,London,SW14 8RF,
1607,East Sheen Avenue,2500000,House,3058,6,6,6,,London,SW14 8AU,
1608,Lowndes Square,1495000,Flat / Apartment,886,2,2,2,,London,SW1X 9JU,
1609,Eagle Wharf Court,1100000,Flat / Apartment,1058,2,2,2,Lafone Street,London,SE1 2LZ,
1610,Corfton Road,3000000,Flat / Apartment,6049,5,5,5,,London,W5 2HT,
1611,Christchurch Road,2695000,House,2938,6,6,6,,London,SW14 7AT,
1612,Drapers Court,725000,Flat / Apartment,800,2,2,2,59 Lurline Gardens,London,SW11 4DF,
1613,Belgrave Mansions,1700000,Flat / Apartment,1303,3,3,3,Belgrave Gardens,London,NW8 0RA,
1614,Islington Place,3350000,House,3564,4,4,4,Islington,London,N1 0ET,
1615,Admiralty Avenue,999995,House,1855,3,3,3,,London,E16 2PL,
1616,Baynes Mews,3650000,House,3070,5,5,5,Belsize Park,London,NW3 5BH,
1617,Battersea Square,1295000,Flat / Apartment,1471,2,2,2,,London,SW11 3RA,
1618,Tavistock Place,1395000,Flat / Apartment,847,2,2,2,,London,WC1H 9SH,
1619,Curzon Square,2850000,Flat / Apartment,1091,2,2,2,Mayfair,London,W1J 7FZ,
1620,Phoenix Way,470000,Flat / Apartment,531,1,1,1,,London,SW18 2PW,
1621,Wellington House,830000,Flat / Apartment,551,1,1,1,70 Buckingham Gate,London,SW1E 6AL,
1622,Lowfield Road,1250000,House,1872,4,4,4,,London,W3 0AY,
1623,St. George's Square,895000,Flat / Apartment,836,2,2,2,Pimlico,London,SW1V 2HX,
1624,Parkside Avenue,8000000,House,6713,8,8,8,Wimbledon,London,SW19 5ES,
1625,Bedford Villas,825000,House,1443,3,3,3,Whitehead Close,London,SW18 3EP,
1626,Banbury House,625000,Flat / Apartment,925,3,3,3,Banbury Road,London,E9 7EB,
1627,Cadogan Square,2500000,Flat / Apartment,1033,3,3,3,,London,SW1X 0JW,
1628,Cadogan Square,4000000,Flat / Apartment,1948,3,3,3,,London,SW1X 0HY,
1629,Hale House,3950000,Flat / Apartment,2573,3,3,3,34 De Vere Gardens,London,W8 5AQ,
1630,Almorah Road,675000,Flat / Apartment,722,2,2,2,Canonbury,London,N1 3EU,
1631,Sanderling Lodge,925000,Flat / Apartment,969,2,2,2,Star Place,London,E1W 1AJ,
1632,Calbourne Road,1550000,House,1963,4,4,4,,London,SW12 8LW,
1633,Albany Mansions,999950,Flat / Apartment,927,2,2,2,Albert Bridge Road,London,SW11 4PQ,
1634,Ability Place,715000,Flat / Apartment,969,2,2,2, Canary Wharf,London,E14 9DF,
1635,White Hart Lane,1650000,House,1869,4,4,4,Barnes,London,SW13 0PU,
1636,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX,
1637,Atlantic House,850000,Penthouse,1249,3,3,3, Shoreditch,London,E2 8HH,
1638,New North Road,475000,Flat / Apartment,477,1,1,1,Hoxton,London,N1 6JB,
1639,Bateman's Row,950000,Flat / Apartment,1190,2,2,2,,London,EC2A 3HH,
1640,Cicada Road,1250000,House,1658,4,4,4,Wandsworth,London,SW18 2NN,
1641,Ennismore Avenue,2500000,House,2960,5,5,5,Chiswick,London,W4 1SF,
1642,Riverside Court,2950000,Penthouse,2128,3,3,3,20 Nine Elms Lane,London,SW8 5BZ,
1643,Great Sutton Street,1395000,Flat / Apartment,1150,2,2,2,,London,EC1V 0DP,
1644,Otto Building,1300000,Penthouse,1476,3,3,3,Downs Road,London,E5 8DE,
1645,Albany Mansions,1025000,Flat / Apartment,947,3,3,3,Albert Bridge Road,London,SW11 4PQ,
1646,White Horse Lane,650000,House,997,2,2,2,,London,E1 4LR,
1647,Mount Park Road,2000000,House,2593,4,4,4,Harrow On The Hill,Middlesex,HA1 3LD,
1648,Bushberry Road,950000,House,1298,4,4,4,,London,E9 5SX,
1649,Wilmington House,500000,Flat / Apartment,572,1,1,1, Highbury,London,N5 1RX,
1650,Garnet Street,1200000,House,1125,3,3,3,,London,E1W 3QS,
1651,Chilton Street,625000,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA,
1652,Geraldine Road,1350000,House,1873,5,5,5,Wandsworth,London,SW18 2NR,
1653,Furlong Road,1899950,House,1250,3,3,3,,London,N7 8LS,
1654,Morpeth Mansions,2100000,Flat / Apartment,1556,4,4,4,Morpeth Terrace,London,SW1P 1ET,
1655,Lord North Street,3900000,House,2139,3,3,3,,London,SW1P 3LD,
1656,No.1 Grosvenor Square,39750000,New development,5623,5,5,5,Mayfair,London,W1K 4AB,
1657,No.1 Grosvenor Square,14250000,New development,2415,3,3,3,Mayfair,London,W1K 4AB,
1658,Montpelier Road,1300000,Flat / Apartment,1986,3,3,3,,London,W5 2QS,
1659,Greencoat Place,730000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB,
1660,Auriol Road,409950,Flat / Apartment,463,1,1,1,,London,W14 0SR,
1661,Allfarthing Lane,735000,Flat / Apartment,983,3,3,3,Wandsworth,London,SW18 2PG,
1662,Provost Street,495000,Flat / Apartment,499,1,1,1,Old Street,London,N1 7NB,
1663,City Lofts,875000,Flat / Apartment,898,1,1,1, Shoreditch,London,EC2A 4LE,
1664,Randolph Avenue,1250000,Flat / Apartment,913,2,2,2,,London,W9 1DJ,
1665,Marlborough,700000,Flat / Apartment,870,2,2,2,Maida Vale,London,W9 1RW,
1666,No.1 Grosvenor,8250000,New development,1455,2,2,2,Mayfair,London,W1K 4AB,
1667,Southgate Road,835000,Flat / Apartment,878,2,2,2,,London,N1 3JZ,
1668,Orsman Road,800000,New development,920,3,3,3,Hackney,London,N1 5QJ,
1669,York Avenue,1950000,House,2006,5,5,5,,London,SW14 7LG,
1670,Globe Road,725000,House,904,3,3,3,,London,E1 4DY,
1671,Orchard Building,900000,Flat / Apartment,802,2,2,2, Clerkenwell,London,EC1V 3AP,
1672,Park Lane,800000,Flat / Apartment,532,1,1,1,Mayfair,London,W1K 7AF,
1673,Rusthall Avenue,2550000,House,2679,5,5,5,Chiswick,London,W4 1BW,
1674,The Drive,1400000,Bungalow,2921,4,4,4, Uxbridge,Middlesex,UB10 8AF,
1675,Shirland Road,675000,Flat / Apartment,676,1,1,1,Maida Vale,London,W9 2BT,
1676,Herndon Road,725000,Flat / Apartment,875,2,2,2,,London,SW18 2DQ,
1677,Sir John Lyon House,3950000,Flat / Apartment,2780,3,3,3,8 High Timber Street,London,EC4V 3PA,
1678,Grosvenor Road,2250000,House,2736,5,5,5,Chiswick,London,W4 4EH,
1679,Huron Road,2550000,House,3753,7,7,7,,London,SW17 8RD,
1680,Herondale Avenue,5500000,House,4292,6,6,6,Wandsworth,London,SW18 3JN,
1681,Victoria Rise,435000,Flat / Apartment,465,1,1,1,,London,SW4 0PF,
1682,Stapleton Hall Road,499950,Flat / Apartment,666,1,1,1,,London,N4 4QA,
1683,Denton Road,1800000,House,2098,4,4,4,,Twickenham,TW1 2TN,
1684,Gunmakers Lane,435000,Flat / Apartment,506,1,1,1,,London,E3 5GG,
1685,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ,
1686,Highstone House,1550000,Flat / Apartment,1315,3,3,3,21 Highbury Crescent,London,N5 1RX,
1687,Vincent Square,3600000,House,2600,4,4,4,,London,SW1P 2NP,
1688,Elsham Road,750000,Flat / Apartment,709,2,2,2,,London,W14 8HB,
1689,Cambridge Street,680000,Flat / Apartment,581,2,2,2,Pimlico,London,SW1V 4QE,
1690,Roden Street,1395000,House,1428,5,5,5,Holloway,London,N7 6QJ,
1691,Bolanachi Building,575000,Flat / Apartment,745,2,2,2,Enid Street,London,SE16 3EX,
1692,Barham Road,2675000,House,3595,5,5,5,Wimbledon,London,SW20 0ET,
1693,Shepherdess Walk,2200000,Flat / Apartment,2288,3,3,3,Old Street,London,N1 7LB,
1694,Wellington Close,2300000,House,1447,2,2,2,,London,W11 2AN,
1695,Kenilworth Gardens,520000,House,1162,4,4,4,,London,SE18 3JB,
1696,Hillbrook Road,875000,House,1140,4,4,4,,London,SW17 8SF,
1697,Television Centre,740000,Penthouse,579,1,1,1,101 Wood Lane,London,W12 7FS,
1698,Phoenix Way,525000,Flat / Apartment,699,2,2,2,,London,SW18 2PW,
1699,Brunswick Gardens,9500000,House,4454,5,5,5,,London,W8 4AJ,
1700,Wood Crescent,1250000,Flat / Apartment,897,2,2,2,,London,W12 7GP,
1701,Graveney Road,795000,House,1236,3,3,3,,London,SW17 0EQ,
1702,Philbeach Gardens,935000,Flat / Apartment,683,2,2,2,,London,SW5 9DY,
1703,Chiswick Village,535000,Flat / Apartment,678,2,2,2,,London,W4 3DF,
1704,Sulgrave Road,1995000,House,2055,4,4,4,,London,W6 7QH,
1705,Coleraine Road,1800000,House,2996,5,5,5,Blackheath,London,SE3 7PQ,
1706,Wellfield Road,750000,House,1030,3,3,3,,London,SW16 2BY,
1707,17 Lillie Square,1430000,New development,905,2,2,2, Earls Court,London,SW6 1UE,
1708,Claremont Square,1500000,Flat / Apartment,1197,2,2,2,,London,N1 9LS,
1709,Leppoc Road,1890000,House,2408,5,5,5,,London,SW4 9LT,
1710,Walsingham,1990000,Flat / Apartment,1364,3,3,3,St. Johns Wood Park,London,NW8 6RG,
1711,Battersea Park Road,825000,Flat / Apartment,1109,2,2,2,,London,SW11 4ND,
1712,Samford House,525000,Flat / Apartment,779,4,4,4,Charlotte Terrace,London,N1 0JF,
1713,Buckston Browne Gardens,1900000,House,4558,5,5,5, Orpington,Kent,BR6 7FF,
1714,Leathwaite Road,725000,Flat / Apartment,635,2,2,2,,London,SW11 1XQ,
1715,Telfords Yard,900000,Flat / Apartment,1436,2,2,2,,London,E1W 2BS,
1716,Belgrave Road,3995000,House,4642,6,6,6,Pimlico,London,SW1V 2BQ,
1717,Dalby Road,1100000,House,1420,3,3,3, Wandsworth,London1500,SW18 1AW,
1718,Deerings Drive,975000,House,1448,4,4,4,Pinner,Middlesex,HA5 2NZ,
1719,Astonville Street,1225000,House,1495,4,4,4,Southfields,London,SW18 5AG,
1720,Upper Halliford Road,325000,Flat / Apartment,601,2,2,2,Shepperton,Middlesex,TW17 8SH,
1721,Earlsfield Road,1175000,House,2259,5,5,5,Wandsworth,London,SW18 3DY,
1722,City Road,500000,Flat / Apartment,551,1,1,1,Shoreditch,London,EC1V 1AG,
1723,Wilton Place,6600000,House,3388,5,5,5,,London,SW1X 8RH,
1724,Regents Park Road,1750000,Flat / Apartment,1677,2,2,2,Primrose Hill,London,NW1 7SX,
1725,York Mansions,2100000,Flat / Apartment,1550,3,3,3,Prince of Wales Drive,London,SW11 4BN,
1726,Overstrand Mansions,1685000,Flat / Apartment,1318,2,2,2,Prince of Wales Drive,London,SW11 4EU,
1727,Candlemakers Apartments,550000,Flat / Apartment,759,1,1,1, Battersea,London,SW11 3RS,
1728,Bond Mansions (Phase 2a),690000,New development,633,1,1,1,,Wornington Road,W10 5RZ,
1729,Bond Mansions (Phase 2a),685000,New development,594,1,1,1,,Wornington Road,W10 5RZ,
1730,Bond Mansions (Phase 2a),765000,New development,733,2,2,2,,Wornington Road,W10 5RZ,
1731,Cavendish Road,435000,Flat / Apartment,412,1,1,1,,London,SW12 0BH,
1732,Cavendish Road,435000,Flat / Apartment,420,1,1,1,,London,SW12 0BH,
1733,Bond Mansions (Phase 2a),825000,New development,775,2,2,2,,Wornington Road,W10 5RZ,
1734,Gowing House,1150000,New development,1206,3,3,3, Wandsworth,London,SW18 1SZ,
1735,Bond Mansions,710000,New development,830,1,1,1,,Wornington Road,W10 5RZ,
1736,Avenue Close,1695000,Flat / Apartment,1168,2,2,2,Avenue Road,London,NW8 6DA,
1737,Provost Street,500000,Flat / Apartment,508,1,1,1,Shoreditch,London,N1 7NB,
1738,Cavendish Road,850000,Flat / Apartment,907,3,3,3,,London,SW12 0BH,
1739,The Listed Building,970000,Flat / Apartment,1350,2,2,2,350 The Highway,London,E1W 3HU,
1740,Highbury Hill,1650000,House,1642,4,4,4,,London,N5 1AU,
1741,Reynolds House,475000,Flat / Apartment,663,2,2,2,Approach Road,London,E2 9JR,
1742,Trouville Road,1050000,Flat / Apartment,1050,2,2,2,,London,SW4 8QL,
1743,Clancarty Road,1750000,House,1770,4,4,4,,London,SW6 3AH,
1744,Pembridge Road,750000,Flat / Apartment,477,1,1,1,,London,W11 3HN,
1745,Belsize Avenue,580000,Flat / Apartment,607,1,1,1,,London,NW3 4BL,
1746,17 Lillie Square,1680000,New development,1100,2,2,2, Earls Court,London,SW6 1UE,
1747,Turner House,1250000,Flat / Apartment,802,1,1,1, Covent Garden,London,WC2R 0PP,
1748,Pierhead Lock,700000,Flat / Apartment,1387,4,4,4, Canary Wharf,London,E14 3FD,
1749,Barmouth Road,799999,Flat / Apartment,1283,2,2,2,Wandsworth,London,SW18 2DN,
1750,Margil House,825000,Flat / Apartment,1175,3,3,3,Singapore Road,London,W13 0FD,
1751,Television Centre,1050000,Flat / Apartment,953,2,2,2,101 Wood Lane,London,W12 7FT,
1752,St. Ann's Crescent,575000,Flat / Apartment,720,2,2,2,,London,SW18 2LR,
1753,Eamont Court,725000,Flat / Apartment,617,2,2,2, St Johns Wood,London,NW8 7DW,
1754,Hampton Court Way,1000000,House,1827,4,4,4,,Thames Ditton,KT7 0LT,
1755,Lanson Building,525000,Flat / Apartment,472,1,1,1,348 Queenstown Road,London,SW11 8QN,
1756,Hepworth Court,1600000,Flat / Apartment,1019,3,3,3,30 Gatliff Road,London,SW1W 8QP,
1757,Quarry Road,1550000,House,2326,5,5,5,Wandsworth,London,SW18 2QH,
1758,Barmouth Road,750000,Flat / Apartment,1176,3,3,3,Wandsworth,London,SW18 2DT,
1759,Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY,
1760,Redesdale Street,4250000,House,2223,4,4,4,,London,SW3 4BL,
1761,Oxford Road,710000,Flat / Apartment,730,2,2,2,Putney,London,SW15 2LF,
1762,Ravenswood Park,1100000,House,2007,4,4,4,Northwood,Middlesex,HA6 3PR,
1763,Davenham Avenue,1600000,House,2914,4,4,4,Northwood,Middlesex,HA6 3HW,
1764,Chiltern Place,12950000,New development,2840,2,2,2, Marylebone,London,W1U 4EJ,
1765,Grosvenor Avenue,749950,Flat / Apartment,1053,3,3,3,Highbury,London,N5 2NP,
1766,Devonshire Road,899950,House,1344,5,5,5,,London,W5 4TR,
1767,Hugero Point,399995,Flat / Apartment,569,1,1,1, Greenwich,London,SE10 0GS,
1768,Ionian Building,525000,Flat / Apartment,814,1,1,1,45 Narrow Street,London,E14 8DW,
1769,Palladian Gardens,2500000,New development,2967,5,5,5,Chiswick,London,W4 2ER,
1770,Vanilla & Sesame Court,950000,Flat / Apartment,698,2,2,2,Curlew Street,London,SE1 2NP,
1771,Lysia Street,1225000,House,1510,4,4,4,Fulham,London,SW6 6NE,
1772,Stormont Road,700000,Flat / Apartment,678,2,2,2,,London,SW11 5EJ,
1773,17 Lillie Square,2170000,New development,1081,3,3,3, Earls Court,London,SW6 1UE,
1774,Talisman Tower,630000,Flat / Apartment,709,2,2,2, Canary Wharf,London,E14 9BU,
1775,St Paul Street,1600000,House,1565,3,3,3,Islington,London,N1 7AH,
1776,Balcorne Street,475000,Flat / Apartment,626,2,2,2,South Hackney,London,E9 7AU,
1777,Fulham Road,500000,Flat / Apartment,481,1,1,1,,London,SW6 5SA,
1778,Cleveland Street,550000,Flat / Apartment,358,1,1,1,Fitzrovia,London,W1T 6NU,
1779,Ferry Road,4350000,House,4862,6,6,6,Barnes,London,SW13 9PR,
1780,Greenhill Court,575000,Flat / Apartment,997,2,2,2, Northwood,Middlesex,HA6 2BD,
1781,Addison Gardens,775000,Flat / Apartment,1173,1,1,1,,London,W14 0DS,
1782,Wadham Road,1345000,House,1909,4,4,4,Putney,London,SW15 2LS,
1783,Carmalt Gardens,2250000,House,2978,5,5,5,Putney,London,SW15 6NE,
1784,Falcon Wharf,500000,Flat / Apartment,752,1,1,1, Battersea,London,SW11 3RY,
1785,Parliament View Apartments,1600000,Flat / Apartment,1192,2,2,2,Lambeth,London,SE1 7XQ,
1786,Drapers Yard,515000,Flat / Apartment,578,1,1,1,Wandsworth,London,SW18 1SF,
1787,East Hill,495000,Flat / Apartment,693,1,1,1,,London,SW18 2HQ,
1788,Coborn Road,1485000,House,1541,4,4,4,Bow,London,E3 2DA,
1789,Park Village East,3650000,House,2034,4,4,4,Regent's Park,London,NW1 7PZ,
1790,Haberdasher Street,825000,Penthouse,896,3,3,3,,London,N1 6EJ,
1791,Elspeth Road,675000,Flat / Apartment,1021,3,3,3,,London,SW11 1DS,
1792,Knightsbridge,17950000,New development,5880,5,5,5,,London,SW3 2AH,
1793,Clephane Road,699950,Flat / Apartment,976,3,3,3,Canonbury,London,N1 2FT,
1794,Thorpe Hall Mansions,600000,Flat / Apartment,854,3,3,3,Eaton Rise,London,W5 2HB,
1795,Des Barres Court,395000,Penthouse,594,1,1,1, Greenwich,London,SE10 0GY,
1796,Landmark East Tower,795000,Flat / Apartment,862,2,2,2,24 Marsh Wall,London,E14 9DB,
